Placard,Description
1,already tagged yellow on 24 Aug 14
1,Porch support columns have slipped off foundation.
1,chimney separated from bldg
1,Chimney foundation bricks knocked out of alignment
0,"Cracked mortar running diag along outside of chim. It appears to have pulled away fr. House <1/4"", minor cracked evident in mortar for int. part damage observed"
0,owner not present - no visible damage from street
0,Hairline cracks in stucco
1,detached section of brick wainscoat at entry
1,Collapsed chimney. Part of the chimney is cracked and not fallen. Avoid chimney area
1,chimney
1,chimney
1,chimney
1,porch damage
1,chimney
1,Family Services of Napa Valley
0,"Settlement @ porch stops to driveway, apparans supported @ chimney to wall (1/2 "") No visible cracks"
0,stopped work-sheetrock installation
0,No damage minor plaster cracks
1,"freestanding cmu wall at east property line is leaning, impacts neighbors at 1718 G St, aftershocks may cause collapse/no access/demolis or repair"
0,"Numerous areas where plaster is cracked inside,almost all areas cracks run fr corners of doors/openings/windows & extend 3' across the wall diagonally 45 deg"
0,"Minor cracks on walls ext & minor cracks around chimney, ceiling. Owner reports there is difficulty to open & close garage door"
0,"Mior cracks in interior drywall, no exterior damage noted"
1,Keep area clear around chimney
1,Keep area clear around chimney
1,Brick chimney collapsed onto the ground and front entry stairs and landing have slumped.
0,requst to eval chimney - green tag reposted
1,full height wall support/supporting roof coming off foundation - occupancy ok
0,"Interior cracking leads to interface, recomment to be repaired, minor cracking on fireplace wall/ S &E wall kitchen interface"
1,"Safe to occupy, clubhouse & pool except areas adjacent self supporting trellis. Standard Engineer inspection req'd"
1,damaged chimney - leaning
2,"collapse, leaning, racking"
2,"collapse, leaning, racking"
1,plaster separted from lath throughout interior - front business only - remove loose materials to allow public access
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,Cracking of GYP board
1,"engr must eval chimney, sill placte connections, post to header in family room"
1,previously visited
0,minor cracks on bricks
0,structure good
0,"Exterior inspection only GREEN- no damage seen inside, owner called Left a message."
0,"Green tag, minor cracking, no structual damage"
0,"Green tag, no comments"
0,GREEN TAG no comments
0,"No damage, exterior only"
0,Superficial ext & int cracks @ door & window corners
0,structure good
0,structure good
1,concrete wall in backyard collapse
1,"Cracked chimney 12-24"" on horizontal"
0,No cracks observed from exterior
1,chimney
0,No comments
1,cracked with loose section of chimney
1,chimney section above roof line has been removed
1,chimney collapsed
1,owner in process of removing chimney debris - do not use fireplace
0,"Green tag, no comments"
0,"Green tag, no comments"
1,top portions of chimney collpased into neighbors yard
0,No comments
1,chimney falling hazard
1,chimney damage - int face fell - do not use side yard adj to chimney - taped in living room
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,structure good
0,structure good
0,"Minor cracks in walls, no damage"
0,URM fence has been detached & unstable. Restricted areas. Minor crack btwn root diaphragm & wall
0,chimney removed/ fell off-already removed
0,(Travis)
0,(Formatech)
0,(medical offices)
0,interior sheet rock partition walls (Kaiser Medical Offices)
0,(Soto Family NonProfit  Center)
0,Minor cracks @lower part of the brick chimney
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,Chimney falling-requires permit for replacement. Avoid area around chimney
1,repairs needed to chimney
1,Chimney damaged-ok to occupy
1,Restricted area around chimney
0,structure good
0,structure good
0,structure good
0,structure good
1,avoid using the front entrance
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
0,structure good
1,Cracked Chimney
1,Cracked chimney
0,structure good
1,Cracked chimney
1,cracks in chimney/floor joists sagging/cracking stucco in rear
0,GREEN tag declined by owner
1,General cracking along bottom of exterior walls lost wall/shear crack
0,No comments
1,damaged chimney has been removed - currently making repairs to cap
0,"Concerned about door, could  not smell any gas"
1,do not use fireplace stay aWy from areas around fireplace.
0,Resident said there had been H2O damage from broken pipe but it was repaired
0,No visible damage-home owners not home
0,No damage minor stucco cracks
1,Fndn cracks-interior flr slopes fr. Door to kitchen-no restrictions-bowing @ bottom cripple sides fndn cracking
0,"Spoke to owner on phone, inspected front of dwelling only no damage observed"
1,"interior gyp board cracks, chimney top 3' or so about to fall down, stay away from area around base of chimney out to about 15' - stay behind taped area"
1,Cracked chimney
1,"severe ground slope or cracking, ok to occupy, structural geo eval recommended"
1,Crack found on lower portion of chimney
1,Crack on chimney roof
1,Chimney fractured
0,no obvious damage
0,(Crocs Shoes)
0,(3 Hermanos Taqueria)
1,severe cracks in stucco/brickwalls supporting carport
0,Damaged masonry wall near carport removed & new wood fence install
1,Falling plaster
0,OK to occupy
0,minor cracking of front parapet
1,"No Entry from Coombs, parking lot entry only"
1,Le Melange
1,Le Melange
1,Loose and missing brick @ top part of chimney
1,Fallen brick on top of chimney
1,roof tiles falling & Compromised 30% at front entry
1,Previously yellow tagged 9/1/14. Dan Plunkett chimney separated from house
1,cracked chimney
1,chimney
1,Obtain engineer evaluation for cracks in concrete wall panels
0,Suites A thru I
0,Re-tagged based of int. inspection see report on prior inspection SE #2927. No restrictions based on interior inspection of prev noted cracks in conc
1,along entire east side cracks observed at sill/plate/foundation connection - recommend repair
1,do not enter front door until chimney is removed
0,structure good
0,No comments
1,Stair entrance porch has been pulled out & chimney has been cracked & displaced Interior
0,Very minor cracks @ the door frame interior (owner doesn't want gree placard)
1,"porch steps have 1"" gap to front door, superficial and inspect structure OK - restricted use of entry porch stairs"
1,CMU Wall Down
1,Partial foundation moved off bearing. Shear cracks in interior walls. Other code (Fire) Violation found
0,No ovservable hazard
1,Ront porch falling into front yard
0,Minor cracks on dry walls & sidings
1,fireplace leaning
1,fireplace leaning - restrict use on side of house
1,Chimney  down
1,General cracking along bottom of exterior walls lost wall/shear crack
1,Foundation cracked. Needs a structural engineer to perform a site inspection per Dan K.
1,cracks
1,cracks
1,cracks
1,cracks
0,structure good
0,structure good
0,structure good
2,Parking Lot only (AT&T)
1,Water Palace; chimney
1,broken front window
1,Safeway - beam collapsed
0,Minor plaster damage-already repaired
0,(Apt. Unit) Significatn amount of interior cracking @ GYP. BD. Needs remedial repair work
0,No comments
1,Damaged concreat stem wall  floor has dropped above footing
1,"Chimney cracked,viewed inside, chimney to be stabilized by a previously installed, recommend strutural engineer to be consulted for repairs"
0,Structure good
1,chimney failure - stay clear until damage is removed
1,"crack 1/4"" wide in slab near center bathroom aprox 4'-6' long - check slab"
0,No comments
1,avoid areas with loose plaster - OK to occ
1,"fault line through garage, cracks in chimney"
0,no apparent structural damage - no placard
1,"chimney on side of home broken off at roof, damaged roofing in area below, damaged and displaced roof tile in front"
1,chimney separated from struc - residence OK to occupy
1,Electrical
0,chimney fell into yard
0,Crack in walls- Inspected
1,damage to front porch support posts. Brick posts are cracked and leaning. One post is down.
1,remove loose chimney pipe from roof
1,"chimney may collapse during aftershocks, repair dry rot at chimney-roof intersection, provide chimney roof, chimney floor strapping"
2,entire building has racked
0,Inspected- Green tag
1,Front porch separated from main structure/chimney down
1,chimney collaps above roofline - broken portion has been removed - structural review recom
1,fireplace cracking and damaged with missing brick
1,Entry for retro of contents only. Required structural design and strengthing
0,No comments
1,chimney
0,No comments
1,Chimney brick removed. OK to occupy
2,Collapsed structure
0,No issue (Apartment)
0,No issue (Apartment)
0,"Resident (rude) would not allow interior inspection. Conducted exterior inspection, minor cracks (face) outside walls. Interior not inspected"
1,chimney
1,stay clear of chimney area
1,"House Shifted, damage to cripple walls"
1,"Loose bricks, damage to chimney"
1,Damage to chimney
0,"Front L handrail slightly loose, minor stucco cracking @ base just L of front entry"
1,do not use fireplace until chimney is repaired
1,chimney shifted
1,"chimney brick has visible twisting/cracking - fall hazard, do not use driveway"
1,Fireplace Chimney to be removed
1,block wall falling down
1,"Upper step on watwer has come off, lower strap loose, TPR valve not plumbed to outside of apartment. Needs to be anchored. Fr. Door out of align."
1,"occupancy ok, minor damage front right post of carport - repairs needed"
0,(Chardonnay Apartments)
1,Chimney bricks loose and leaning
0,"Stucco cracking @ entry court, front exterior cracks & left bottom corner of house."
0,gas insert moved out - PG&E called and checked for damage/leaks none found
0,Exterior of dwelling has been inspected & deemed safe to occupy
0,(Bel Aire Plaza) damage limited to roofing and contents
1,Occupant are not to use garage or screened porch above garage. Occupants may enter to remove items
1,Collapsed Chimney
1,chimney
1,chimney cracked at left side of house
1,Collapsed Chimney
1,light well - cracks in chimney - does not appear to be fall hazard (Lutheran Church) - green tag removed
0,"Inspected exterior & interior, no visible damage"
1,brick veneer cracked and bowing outward - fall hazard to residents on front porch
1,"Gas smell, light, by meter. Shut off gas. Building leaning, chimney cracked, Verify structural retrofit in basement was permitted"
0,No comments
0,No comments
1,brick facia separated from building structure and may fall to the north
1,brick facia separated from building structure and may fall to the north
1,brick facia separated from building structure and may fall to the north
1,brick facia separated from building structure and may fall to the north
1,apartment Complex - CMU wall separated from column
0,no restrictions
0,"tenant reports interior cracking, there is no visible exterior damage noted, no further action needed"
0,green - no placard posted
0,green - no placard posted
0,green - no placard posted
0,green - no placard posted
0,green - no placard posted
0,green - no placard posted
0,green - no placard posted
0,green - no placard posted
1,"Top portion of chimney has brocken above roof line, avoid, avoid area around chimney at side yard"
1,"crack in ceiling (1/8"" - 1/4"") near head beam connection - check ceiling joise to beam connections"
1,"Shifted off base 5"". W side porch posts need re-alignment & securing @ base"
2,unsafe
0,structure good
0,No comments
1,f/p unstable
1,"Chimney pull away from structure,contractor removed chimney , back ASAP to brace the wall & transfer load to wall"
0,No noticable cracks observed from exterior
0,No noticable cracks observed from exterior
0,No noticable cracks observed from exterior
0,"Minor cracks @ openings, Inspected exterior/Vacant apartment"
0,"Green tag, no comments"
1,Crack from ground to rear west window - foundation slippage
1,shift of foundation - front porch columns
1,"Porch separated from building structure 1.5"" gap from porch to structure"
0,GREEN TAG (Mobile Home) new support blocking installed per HCD standards permit 28-0048-MP issued 9/15/14-repair work in progress
0,GREEN TAG (Mobile Home) steps separated partially from deck-steps appear to be intact H2O problem resolved
0,No obvious EQ damage
1,corner brick veneer at garage cracked through to main structure
1,chimney failure - stay clear until damage is removed
0,"No damage, no cracks"
0,Minor drywall crack @ kitchen
0,Structure good
1,chimney collapsed roof at front entrance
0,Minor superficial cracks no structural
0,Minor superficial cracks no structural
0,"Sill pls. are bolted down-one side of stairs to fr entry has lg screws pulled away from structural members. Re-attach to structure, stay on L side stairs"
0,"Drywall cracks in interior, no other damage"
0,no structural damage
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,Interior cracks above doors and windows. Cracks along taped joints
1,"roof tiles, falling hazard"
0,Cracks above front door and above the garage
0,Stucco cracking Minor craks done door & garage
0,"garage 36"" door frame - minor drywall crack in interior garage wall above side door - side door offset 1/4"" on interior side"
0,Please call 258-7829 on questions about chimney to be inspected
0,Viewed crawl space/plumb
0,"repaired chimney with metal straps, removed top of chimney above roof"
0,"Doors sticking, minor cracking in tile, drywall, openings, pool decking settlement issues"
0,Minor drywall cracks
1,"structural damage, cracking"
0,(Aquatic World)
0,structure good
0,structure good
0,structure good
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
1,"east CMU wall / chimney/ racking, collapse"
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
0,(Bel Aire Plaza) damage limited to roofing and contents
1,chimney cracked through a narrow section above rooms
0,(Bel Aire Plaza) damage limited to roofing and contents
1,"Fndn sill plate, stucco cracking around base of structure primarily on S & W side. No restricting @ this time"
0,"Chimney cracks minor, exterior of dwelling has been inspected and deemed safe to occupy"
0,structure good
1,Numerous cracks throughout living room through kitchen to dining room area. Chimney collapsed and penetract clay roof
1,brick work inside was removed or fell
1,Damaged chimney- moderate damage
0,Apartments-Inspected
0,No issue (Apartment)
0,"(Orchard Supply Hardware) minor ceiling tile damage, cracked slab running from front of store to rear"
2,leaning tower over entry (Target)
0,"issue by City - suggest yellow - damage to façade, tower - perimeter within fall zone (tower) (Target)"
1,House is OK evaluate for garage only. Lg cracks wall of garage only. Limited access to garage
1,Large cracks in masonry wall. Limited access to remove belongings
0,No comments
0,novisible damage (exterior only) - no one home
2,Carports collapsed - 1 of 9 carports left standing
2,slipped off foundations/jacks tie down system
0,Contractor is repairing damages
1,foundation cracking - chimney separated from structure - safe to occ
1,severe foundation and wall damage
1,Damage to fireplace and chimney
0,Wall siding pulled out
0,SE should review foundation and stem wall
0,No comments
1,chimney
1,Cripple wall leaning 3' owner had contractor stablize wall with 4x4 to ctr fndn. 3'to the W wall of struct. Needs to submit a a struct. Eng. Report to the Cof Napa
0,"Green tag,Interior plaster cracking"
1,structural damage to the foundation
1,structural damage to the foundation
1,structural damage to the foundation
1,structural damage to the foundation
0,roof tile; garage door area appears to be repaired
1,chimney damage
1,floor center supports have moved off piers under house - must be reinstalled & secured
0,Side fence masonry wall damaged & removed
0,Minor cracks on stucco walls
0,"Minor crack on bricks of chimney, minor cracks on exterior walls"
1,"Cracked chimney, occupants stay 25 ft. aWy from chimney"
0,"Minor drywall cracking ""GREEN"""
0,No damage or hazards noted from front yard
0,structure good
0,Need H2O heater straps
1,Family rm restricted-no use-fireplace compromised-cracks @ roofline (horizontal)
1,"very slight leaning, racking cracks @ door frames, cracked chimney, blocks fallen"
1,loose roofing shingles/tiles
1,portion of roof at corner has collapsed exposing framing and brick - avoid walking or standing below damaged roof area
0,Apartments-Inspected
1,"interior wall has moved 1/4"" at slab, soffit at kitchen has sagged; gas odor in SW bedroom"
1,"cracks on walls/bathrooms ceiling, floor movement - need struc eng"
0,Minor stucco cracks
1,"Cracking in conc floor significant ceiling cracks throughout restaurant, concrete exit ramp out the west side, west side of bldg shifted"
0,dry wall damage - recomm eval by engr for buckled sidding
1,"Broken windows near deck supports, some area leaving and/or shifted. Stay off of deck wall, supports are repaired"
0,OK to occ
1,"avoid side yard, chimney stack came apart bu tnot fallen - do not use fireplace"
1,chimney fell - do not use fire place
0,small hairline cracks
1,Some damage to roof structure. Part of chimney still on roof.
1,backayrd CMU retaining wall/fence failure - no restrictions
1,"Chimney Down, damage to exterior roof and interior beams"
0,Retaining wall 3' tall retaining walls leaning only
0,superficial cracking
1,Chimney fell over on to roof
0,No damage
0,"Minor chimney cracks,bricks @ celing of kitchen stove seprating from wall (1/2 ""). Engineer to look @ chimney & look @ brick veneer in kitchen"
1,Restrictions around chimney
0,Outside only
0,No comments
0,minor crack above garage door
1,Chimney
1,chimney
1,Do not occupy areas E & W of tower until detailed walls is structrual. Eng. & recommend repairs are completed (Church & Offices)
1,Chimney-ext. cracked W face aprox. 4' from slab/two cracks (horz)Nth face from slab/crack @ top of chimney int. runs to ceiling
0,"plaster cracks, no issues of concern"
1,"Cracked both sides chimney/SE about 1/4 replacement 3/4"" separation fireplace from walls. Keep away from south side of chimney outside & 6 ft away"
0,Minor separation @ front porch
0,Unit 240: Minor sheet rock cracking similar to 246
0,"Unit 242:nail pop-outs on W sheetrock wall top, minor sheetrock crack."
0,Unit 246: Minor sheetrock cracking
0,No comments
0,No report
0,No damage minor stucco cracks
1,loose bricks/chimney
0,"Front conc.stairs settled, cracked plaster, settlement elsewhere, chimney ok"
0,No issue (Apartment)
0,No issue (Apartment)
0,No issue (Apartment)
0,Apartments-Inspected
0,No issue (Apartment)
0,Apartments-Inspected
0,No issue (Apartment)
0,Lath/plaster cracks
1,Cracking of foundation - structure stable
2,Roof collapse (Sunsweet Building)
1,Large cracks in wall
2,[ATC filed with yellow tags] carport red tagged
1,no entry through front porch except construct workers & postman - porch pulling away from main struc - chimny collapse in attic
1,foundation cracks Unit 1 - engineer review required
0,Cracks in fndn cosmetic
1,"Front port is unstable, chimeny damage"
1,Porch damage. Damage reported back interior. No access
1,already yellow with porch and living room restricted access; already red tapped
1,do not use offices at NW corner of building until inspection by structural engineer
1,damaged chimney - leaning
0,[Fairview Market] no damage or hazards observed
1,"cracks in exterior wall, partial separation wall to beam"
1,"cracks in exterior wall, beam to wall connection"
1,post supporting balcony partial dislodged
1,OK to occupy restricted access at balcony area
0,Interior drywall cracks GREEN TAG
0,Interior drywall cracks GREEN TAG
0,"Green tag, some stucco cracking, foundation cracking recommend to be looked @ by engineer, chimney separated from house 3/8 """
0,GREEN TAG
1,chimney top fell to groun
0,No comments
1,Restrict rear egress at area by chimney. Owner to remove this week.
1,"Rear yard fence/brick block wall fell, temp. fence in place"
0,trip hazards at drvwy - drvwy settlement; minor stucco cracks; chimney does not appear damaged
1,"structural damage apparent, inspection refused - 9/9/14 deadline to provide struc engr report or will be red tagged"
1,"structural damage apparent, inspection refused - 9/9/14 deadline to provide struc engr report or will be red tagged"
0,(West End Napa) OK to occupy
0,re-opened business - no outside seating (Tarla)
1,foundation shifted
1,loose & broken plaster falling - remove plaster to release yellow tag
2,leaning north about 3-inches on foundation (Laser & Vein Center)
1,possible cracks at chimney - have chimney inspected
1,Keep area clear around chimney
1,Keep area clear around chimney
1,Chimney severed at 2nd story roofline
1,Chimney cracked - moderate damage
1,"support post between garage doors out of plumb, door moved 3/4"" - Occ OK"
1,Ok to occupy
1,damage rafters; chimney fell over and damaged a few roof rafters
0,Interior GYP board cracking
0,Exterior stucco cracking @ chimney
1,"Major cracks & displacement of chimney on roof, stay away from area below roof directly below chimney"
0,settlement at drvqy appears to be old - some cracks at low brick planter boxes
0,No damage
1,Minor stem wall and flatwork
1,Chimney collapsed onto ground
0,No comments
1,Chimney fell
1,remove chimney - owner sched to remove
2,Chimney through roof
0,front fence wall collapsed
0,No damage
1,chimney cracked - don't use fireplace - OK to occupy - stucco cracking
1,"Canopy area leaning, w.breaking area reduced to half @beam, minor cracks observed. Stay clear, tighten ceiling fans"
0,None GREEN TAG
1,"chimney cracked, stairs at back shifted"
1,chimney cracked
1,Roof and chimney damage.
1,Chimney collapsed
2,racking (previous yellow tag) (VR09-0045)
1,structure leaning slightly
1,"ok to occupy/contact PGE on gas meter issue, minor foundation crack"
0,No comments
1,"front porch/garage leaning slightly, front wall collapsed"
1,crack around the base of middle chimney; chimney may fall because of crack
